-12.0, 2.0, 87.0
-14.0, -18.0, 86.0
-13.0, -7.0, 87.0
-12.0, 4.0, 88.0
-21.0, -4.0, 87.0
-16.0, 2.0, 88.0
-18.0, -18.0, 87.0
-17.0, -7.0, 88.0
-16.0, 4.0, 89.0
-18.0, -16.0, 88.0
-17.0, -5.0, 89.0
-12.0, 1.0, 90.0
-14.0, -19.0, 89.0
-13.0, -8.0, 90.0
-12.0, 3.0, 91.0
-21.0, -5.0, 90.0
-16.0, 1.0, 91.0
-18.0, -19.0, 90.0
-17.0, -8.0, 91.0
-16.0, 3.0, 92.0
-18.0, -17.0, 91.0
-17.0, -6.0, 92.0
-12.0, 0.0, 93.0
-14.0, -20.0, 92.0
-13.0, -9.0, 93.0
-12.0, 2.0, 94.0
-21.0, -6.0, 93.0
-16.0, 0.0, 94.0
-18.0, -20.0, 93.0
-17.0, -9.0, 94.0
-16.0, 2.0, 95.0
-18.0, -18.0, 94.0
-17.0, -7.0, 95.0
-12.0, -1.0, 96.0
-14.0, -21.0, 95.0
-13.0, -10.0, 96.0
-12.0, 1.0, 97.0
-14.0, -19.0, 96.0
-13.0, -8.0, 97.0
-12.0, 3.0, 98.0
-21.0, -5.0, 97.0
-16.0, 1.0, 98.0
-18.0, -19.0, 97.0
-17.0, -8.0, 98.0
-16.0, 3.0, 99.0
-18.0, -17.0, 98.0
-17.0, -6.0, 99.0
-12.0, 0.0, 100.0
-14.0, -20.0, 99.0
-13.0, -9.0, 100.0
-12.0, 2.0, 101.0
-21.0, -6.0, 100.0
-16.0, 0.0, 101.0
-18.0, -20.0, 100.0
-17.0, -9.0, 101.0
-16.0, 2.0, 102.0
-18.0, -18.0, 101.0
-17.0, -7.0, 102.0
-12.0, -1.0, 103.0
-14.0, -21.0, 102.0
-13.0, -10.0, 103.0
-12.0, 1.0, 104.0
-21.0, -7.0, 103.0
-16.0, -1.0, 104.0
-18.0, -21.0, 103.0
-17.0, -10.0, 104.0
-16.0, 1.0, 105.0
-18.0, -19.0, 104.0
-17.0, -8.0, 105.0
-16.0, 3.0, 106.0
-18.0, -17.0, 105.0
-17.0, -6.0, 106.0
-12.0, 0.0, 107.0
-14.0, -20.0, 106.0
-13.0, -9.0, 107.0
-12.0, 2.0, 108.0
-21.0, -6.0, 107.0
-16.0, 0.0, 108.0
-18.0, -20.0, 107.0
-17.0, -9.0, 108.0
-16.0, 2.0, 109.0
-18.0, -18.0, 108.0
-17.0, -7.0, 109.0
-12.0, -1.0, 110.0
-14.0, -21.0, 109.0
-13.0, -10.0, 110.0
-12.0, 1.0, 111.0
-21.0, -7.0, 110.0
-16.0, -1.0, 111.0
-18.0, -21.0, 110.0
-17.0, -10.0, 111.0
-16.0, 1.0, 112.0
-18.0, -19.0, 111.0
-17.0, -8.0, 112.0
-12.0, -2.0, 113.0
-14.0, -22.0, 112.0
-13.0, -11.0, 113.0
-12.0, 0.0, 114.0
-21.0, -8.0, 113.0
-16.0, -2.0, 114.0
-18.0, -22.0, 113.0
-17.0, -11.0, 114.0
-16.0, 0.0, 115.0
-18.0, -20.0, 114.0
-17.0, -9.0, 115.0
-16.0, 2.0, 116.0
-18.0, -18.0, 115.0
-17.0, -7.0, 116.0
-12.0, -1.0, 117.0
-21.0, -9.0, 116.0
-20.0, 2.0, 117.0
-22.0, -18.0, 116.0
-21.0, -7.0, 117.0
-16.0, -1.0, 118.0
-18.0, -21.0, 117.0
-17.0, -10.0, 118.0
-16.0, 1.0, 119.0
-18.0, -19.0, 118.0
-17.0, -8.0, 119.0
-12.0, -2.0, 120.0
-14.0, -22.0, 119.0
-13.0, -11.0, 120.0
-12.0, 0.0, 121.0
-21.0, -8.0, 120.0
-16.0, -2.0, 121.0
-18.0, -22.0, 120.0
-17.0, -11.0, 121.0
-16.0, 0.0, 122.0
-18.0, -20.0, 121.0
-17.0, -9.0, 122.0
-12.0, -3.0, 123.0
-14.0, -23.0, 122.0
-13.0, -12.0, 123.0
-12.0, -1.0, 124.0
-21.0, -9.0, 123.0
-16.0, -3.0, 124.0
-18.0, -23.0, 123.0
-17.0, -12.0, 124.0
-16.0, -1.0, 125.0
-18.0, -21.0, 124.0
-17.0, -10.0, 125.0
-16.0, 1.0, 126.0
-18.0, -19.0, 125.0
-17.0, -8.0, 126.0
-12.0, -2.0, 127.0
-21.0, -10.0, 126.0
-20.0, 1.0, 127.0
-22.0, -19.0, 126.0
-21.0, -8.0, 127.0
-16.0, -2.0, 128.0
